Year,Canada,China,Mexico,United Kingdom,United States,India,Japan,Spain,Kenya,Ghana,Nigeria,Saudi Arabia,Singapore
1974,7032.74954107932,157.99938032732402,1218.0731085002099,3665.8627976419,7242.44110467889,166.71671770044398,4281.35992840974,2759.53994967487,228.76102299396703,301.36667320933,401.678582529331,6445.68967530052,2339.59880814999
1975,7478.535910759259,175.86574809627498,1445.71241045779,4299.74561799284,7820.065471146859,161.169257757703,4581.574389481621,3221.58639571399,241.679274139737,285.829466570477,437.01208670604103,6296.301631886379,2489.81517055462
1976,8770.346980354441,162.920523447144,1421.65110800311,4138.16778761535,8611.40183915427,164.289441861537,5111.29514922063,3288.45739531819,248.252989898807,275.87792294767297,554.9527957509598,8158.47274688513,2758.66456962643
1977,8879.22103986376,182.678574311367,1271.8171180305,4681.43993173038,9471.306171931401,189.916119229584,6230.33568811117,3631.82155193161,309.377091058443,312.999343901447,534.4482794263299,8943.31716666301,2845.83740321899
1978,9082.208530225029,155.184629765984,1552.6921351832502,5976.93816899991,10587.285756003299,209.792829493634,8675.01399673352,4343.71027217181,351.669291444554,353.709180539066,525.488257710168,9136.327872197591,3193.3309371308
1979,9997.19843230754,182.513532340627,1987.6383240985,7804.76208051155,11695.554420030701,228.47638196451697,8953.59152027864,5753.02733045419,398.0733141527781,381.03644863369794,659.8775375350821,11997.8757864119,3899.53993519642
1980,11118.482511433898,193.276832220606,2803.3188414344,10032.062080015,12597.6675101771,271.924889480832,9307.8392945921,6200.33627034647,446.60421148380897,411.518030874168,871.1458179680161,16598.720582053702,4927.14034313508
1981,12279.0603568666,195.564928628762,3524.7415848007795,9599.30622221965,13993.166743656999,275.916652537322,10212.378135896999,5359.143245637751,405.5628688855951,379.797675288649,806.5078395860139,17456.9401241101,5595.290915297839
1982,12437.625088418301,201.80802396478904,2394.56442167386,9146.077357018521,14438.9762759859,279.656851400964,9428.87465037061,5151.55399296785,366.267691841134,351.319205747966,661.232376300454,13624.776310516001,6075.54610216876
1983,13368.906739895801,223.734939337166,2008.09565081832,8691.51881306514,15561.4263961128,297.160496589153,10213.9582793056,4472.08823858807,327.783014508247,341.08707325448,444.649092091558,10798.2781628209,6629.784467065171
1984,13768.8791019052,248.915822103302,2319.45795959172,8179.19444064991,17134.2860171738,282.317665231223,10786.7861809452,4483.85195534637,326.852564974567,358.396586107534,348.52632599585297,9438.53720069303,7223.282937207508
1985,13991.2145509173,292.54793904355597,2385.7577824395003,8652.21654247593,18269.4221684235,302.510676668679,11465.7257816258,4693.07558925929,312.04536368057,354.219711284642,344.141083749821,7776.0376244895,6995.04602033271
1986,14335.7438678744,280.09804457441896,1639.74040986935,10611.112210096,19115.05290818,316.846113683895,16882.2739520677,6504.072932497571,354.968357762035,437.088948105851,240.617396617304,6204.223098591011,6793.60649254134
1987,16158.9874251888,250.314587134053,1740.8690134888095,13118.586534629,20100.8588916542,347.42508099660006,20355.6052224352,8228.71963465408,377.0430855224929,376.46042288959,272.507731472812,5852.60155347422,7531.162694172691
1988,18814.564547179198,282.056782845448,2227.405172532,15987.168077568798,21483.2330602579,361.45035799819397,24592.7720053564,9689.53885849796,381.541593358746,375.225019011649,256.375841257804,5791.395088953829,8902.507813621
1989,20586.5575115274,309.263385215471,2657.6004279976,16239.2821960944,22922.4370895271,353.255488535682,24505.7672958689,10662.9242467351,365.40619735778085,368.9981979909021,260.047569976104,6030.26897716685,10380.15486557
1990,21302.396912001,316.224430421825,3068.7024242419798,19095.4669984608,23954.4793548671,375.15201931464486,25123.6317862131,13773.365697854098,365.617821222712,402.588881651019,321.66837089409,7137.39224183787,11864.6582882248
1991,21591.1391612209,331.474915998499,3600.04518532238,19900.7266505069,24405.164814748907,309.327936127406,28540.771482599303,14782.0389005817,336.364188352272,438.5203726005809,279.275782314458,7775.70154164484,14504.941735979399
1992,20692.7220252261,364.759664140764,4080.4521751764396,20487.1707852878,25492.951651761694,323.524792197951,31013.6471483654,16105.418728516299,327.974824352508,414.56163970309194,291.283484505327,7834.23620797021,16143.998198073
1993,19936.3770646304,375.814293801228,5544.932462214821,18389.0195675099,26464.852511744,307.411043241706,35451.2975115738,13362.018345836399,222.724054761049,375.06533363794404,153.07566548763901,7386.668212502759,18302.270212181298
1994,19785.6790398347,471.760881219945,5690.674713130589,19709.238098365306,27776.635528226,353.2924952207009,38814.8943789814,13465.377826111599,268.645575252903,333.217824990775,171.024798212773,7310.9503451911,21578.7634766978
1995,20509.0030863168,607.568583122257,3640.833418872821,21330.276252903,28782.175020091803,381.527462218128,42522.0665906054,15561.9727455217,330.48312180175,385.725260199644,263.28803787451403,7555.96533208318,24936.8732805334
1996,21129.4354271046,707.029771302305,4131.80570593217,22462.509432358398,30068.2309182833,408.241774685944,37422.864142907405,16236.771679291101,428.433876388009,403.9197548286209,314.739902120504,8159.980674127802,26263.0448866015
1997,21709.2963371821,778.943905725537,4907.33315168627,24803.1474321952,31572.6902298492,424.086473791529,34304.1489712264,14872.565890678401,454.74177677799895,392.251816424239,314.29984936351,8328.97098487239,26386.7215887413
