Disease,Fiscal Year,Gender,Age Group,Population,Incidence,Prevalence,Mortality with Disease,Mortality without Disease
Asthma,2005,F,50 to 54,1106190,5530.0,92950,410.0,2380.0
Asthma,2005,F,55 to 59,980080,5230.0,85700,590.0,3190.0
Asthma,2005,F,60 to 64,739400,4150.0,67800,730.0,3880.0
Asthma,2005,F,65 to 69,593950,3390.0,55800,920.0,4900.0
Asthma,2005,F,70 to 74,524470,2930.0,50480,1330.0,7100.0
Asthma,2005,F,75 to 79,466390,2610.0,45460,1820.0,10810.0
Asthma,2005,F,80 to 84,377790,2000.0,35940,2260.0,15070.0
Asthma,2005,F,85+,371420,1840.0,31520,3970.0,37040.0
Asthma,2005,M,<1,157270,2690.0,2690,0.0,860.0
Asthma,2005,M,1 to 4,640620,23590.0,79210,30.0,190.0
Asthma,2005,M,5 to 9,860820,12360.0,186980,30.0,70.0
Asthma,2005,M,10 to 14,994210,6750.0,206850,40.0,100.0
Asthma,2005,M,15 to 19,1017720,3460.0,146720,90.0,440.0
Asthma,2005,M,20 to 24,1017770,3020.0,87740,70.0,710.0
Asthma,2005,M,25 to 29,988250,3260.0,57780,70.0,620.0
Asthma,2005,M,30 to 34,1002410,3440.0,53440,70.0,790.0
Asthma,2005,M,35 to 39,1106330,3910.0,56750,100.0,1000.0
Asthma,2005,M,40 to 44,1287420,4300.0,65960,170.0,1860.0
Asthma,2005,M,45 to 49,1247520,3860.0,61320,210.0,2740.0
Asthma,2005,M,50 to 54,1095530,3440.0,52460,310.0,3940.0
Asthma,2005,M,55 to 59,969580,3340.0,48010,480.0,5390.0
Asthma,2005,M,60 to 64,724550,2900.0,39620,660.0,6550.0
Asthma,2005,M,65 to 69,556960,2450.0,34550,870.0,7930.0
Asthma,2005,M,70 to 74,467120,2250.0,33900,1330.0,10650.0
Asthma,2005,M,75 to 79,369420,1940.0,29890,1860.0,13660.0
Asthma,2005,M,80 to 84,243130,1320.0,21370,2000.0,14750.0
Asthma,2005,M,85+,171930,880.0,14390,2370.0,20580.0
Asthma,2006,F,<1,153350,1480.0,1480,0.0,660.0
Asthma,2006,F,1 to 4,616160,14110.0,45900,10.0,160.0
Asthma,2006,F,5 to 9,808900,8290.0,119500,30.0,60.0
Asthma,2006,F,10 to 14,930940,5110.0,150420,30.0,70.0
Asthma,2006,F,15 to 19,984030,5080.0,130360,40.0,200.0
Asthma,2006,F,20 to 24,989460,4630.0,103110,40.0,220.0
Asthma,2006,F,25 to 29,998690,4750.0,92830,50.0,230.0
Asthma,2006,F,30 to 34,1016480,5070.0,88710,80.0,320.0
Asthma,2006,F,35 to 39,1102600,5560.0,92690,100.0,520.0
Asthma,2006,F,40 to 44,1252980,6180.0,108810,190.0,970.0
Asthma,2006,F,45 to 49,1269230,6100.0,110200,290.0,1710.0
Asthma,2006,F,50 to 54,1139080,5180.0,99420,440.0,2450.0
Asthma,2006,F,55 to 59,995380,4740.0,90150,590.0,3200.0
Asthma,2006,F,60 to 64,794010,4070.0,75570,820.0,4100.0
Asthma,2006,F,65 to 69,613920,3130.0,60110,970.0,5030.0
Asthma,2006,F,70 to 74,525630,2820.0,52480,1380.0,6950.0
Asthma,2006,F,75 to 79,471000,2360.0,47480,1920.0,10630.0
Asthma,2006,F,80 to 84,381640,1750.0,37810,2440.0,15350.0
Asthma,2006,F,85+,392690,1590.0,34710,4660.0,39050.0
Asthma,2006,M,<1,161480,2870.0,2870,0.0,830.0
Asthma,2006,M,1 to 4,645470,21550.0,75840,30.0,160.0
Asthma,2006,M,5 to 9,847780,10810.0,181570,20.0,70.0
Asthma,2006,M,10 to 14,979370,5700.0,217480,40.0,80.0
Asthma,2006,M,15 to 19,1033340,3100.0,162920,80.0,380.0
Asthma,2006,M,20 to 24,1023450,2720.0,99850,100.0,720.0
Asthma,2006,M,25 to 29,1002720,3270.0,63230,60.0,620.0
Asthma,2006,M,30 to 34,997150,3410.0,56180,70.0,720.0
Asthma,2006,M,35 to 39,1099220,3740.0,59370,90.0,1040.0
Asthma,2006,M,40 to 44,1262550,4130.0,68430,150.0,1750.0
Asthma,2006,M,45 to 49,1270960,3810.0,66200,250.0,2740.0
Asthma,2006,M,50 to 54,1129270,3440.0,57340,360.0,4010.0
Asthma,2006,M,55 to 59,982860,3130.0,50660,480.0,5460.0
Asthma,2006,M,60 to 64,778460,2800.0,43930,660.0,7000.0
Asthma,2006,M,65 to 69,578010,2290.0,36820,910.0,8160.0
Asthma,2006,M,70 to 74,470350,2010.0,34440,1300.0,10580.0
Asthma,2006,M,75 to 79,379450,1780.0,31270,1840.0,14040.0
Asthma,2006,M,80 to 84,250790,1150.0,22400,2040.0,15420.0
Asthma,2006,M,85+,184670,790.0,15820,2640.0,22410.0
Asthma,2007,F,<1,159090,1200.0,1200,0.0,670.0
Asthma,2007,F,1 to 4,625720,12460.0,42770,10.0,140.0
Asthma,2007,F,5 to 9,800900,7590.0,115510,30.0,50.0
Asthma,2007,F,10 to 14,914510,4580.0,154080,20.0,60.0
Asthma,2007,F,15 to 19,997370,4480.0,140230,40.0,190.0
Asthma,2007,F,20 to 24,994580,4150.0,110190,50.0,210.0
Asthma,2007,F,25 to 29,1016900,4430.0,97810,50.0,240.0
Asthma,2007,F,30 to 34,1026530,4530.0,93530,60.0,340.0
Asthma,2007,F,35 to 39,1100380,5020.0,95780,90.0,510.0
Asthma,2007,F,40 to 44,1221770,5490.0,109720,190.0,950.0
Asthma,2007,F,45 to 49,1288400,5570.0,116740,350.0,1730.0
Asthma,2007,F,50 to 54,1175610,5080.0,106260,450.0,2400.0
Asthma,2007,F,55 to 59,1013100,4500.0,94830,600.0,3270.0
Asthma,2007,F,60 to 64,846640,4150.0,83220,800.0,4170.0
Asthma,2007,F,65 to 69,639790,3100.0,64830,1030.0,5140.0
Asthma,2007,F,70 to 74,529930,2610.0,54740,1380.0,6830.0
Asthma,2007,F,75 to 79,474070,2200.0,49270,1920.0,10290.0
Asthma,2007,F,80 to 84,385400,1690.0,39300,2330.0,14750.0
Asthma,2007,F,85+,412590,1600.0,37610,4650.0,39870.0
Asthma,2007,M,<1,167840,2350.0,2350,0.0,880.0
Asthma,2007,M,1 to 4,656660,19260.0,71270,20.0,180.0
Asthma,2007,M,5 to 9,839630,9930.0,176020,30.0,60.0
Asthma,2007,M,10 to 14,961490,5220.0,223830,40.0,80.0
Asthma,2007,M,15 to 19,1049110,2710.0,178430,100.0,400.0
Asthma,2007,M,20 to 24,1027140,2480.0,112200,100.0,710.0
Asthma,2007,M,25 to 29,1022860,2920.0,69670,60.0,590.0
Asthma,2007,M,30 to 34,1001910,3110.0,59620,70.0,660.0
Asthma,2007,M,35 to 39,1094930,3330.0,61340,120.0,970.0
Asthma,2007,M,40 to 44,1228580,3540.0,69370,160.0,1660.0
Asthma,2007,M,45 to 49,1292030,3690.0,71010,260.0,2740.0
Asthma,2007,M,50 to 54,1167700,3260.0,62270,400.0,4090.0
Asthma,2007,M,55 to 59,999250,3070.0,53600,500.0,5530.0
Asthma,2007,M,60 to 64,829540,2760.0,47820,690.0,7220.0
Asthma,2007,M,65 to 69,606250,2270.0,39450,910.0,8410.0
Asthma,2007,M,70 to 74,475770,1860.0,35080,1210.0,10360.0
Asthma,2007,M,75 to 79,387470,1650.0,32380,1810.0,13890.0
Asthma,2007,M,80 to 84,259650,1150.0,23570,2090.0,15230.0
Asthma,2007,M,85+,196130,780.0,17070,2750.0,22580.0
Asthma,2008,F,<1,161240,1190.0,1190,0.0,630.0
Asthma,2008,F,1 to 4,639700,12810.0,40300,10.0,110.0
Asthma,2008,F,5 to 9,800870,7010.0,111310,20.0,70.0
Asthma,2008,F,10 to 14,898210,4300.0,154850,20.0,50.0
Asthma,2008,F,15 to 19,1004910,4290.0,149820,40.0,170.0
Asthma,2008,F,20 to 24,1004760,3890.0,117680,60.0,240.0
Asthma,2008,F,25 to 29,1038290,4190.0,103100,50.0,240.0
Asthma,2008,F,30 to 34,1043280,4300.0,98090,60.0,350.0
Asthma,2008,F,35 to 39,1095490,4620.0,98670,120.0,500.0
Asthma,2008,F,40 to 44,1191250,5160.0,109900,190.0,860.0
Asthma,2008,F,45 to 49,1309110,5540.0,123110,330.0,1610.0
Asthma,2008,F,50 to 54,1206540,4740.0,112800,470.0,2400.0
Asthma,2008,F,55 to 59,1041780,4420.0,100360,650.0,3260.0
Asthma,2008,F,60 to 64,891100,4180.0,89850,840.0,4140.0
Asthma,2008,F,65 to 69,669330,3150.0,70170,1050.0,5160.0
Asthma,2008,F,70 to 74,541160,2500.0,57230,1410.0,6850.0
Asthma,2008,F,75 to 79,476560,2230.0,51100,1880.0,10030.0
Asthma,2008,F,80 to 84,389150,1700.0,40790,2480.0,14720.0
Asthma,2008,F,85+,433970,1710.0,40970,5300.0,40770.0
Asthma,2008,M,<1,169540,2390.0,2390,0.0,850.0
Asthma,2008,M,1 to 4,671910,20120.0,67860,20.0,180.0
Asthma,2008,M,5 to 9,839760,9660.0,170120,30.0,70.0
Asthma,2008,M,10 to 14,943460,4650.0,226010,40.0,80.0
Asthma,2008,M,15 to 19,1056220,2570.0,193510,90.0,320.0
Asthma,2008,M,20 to 24,1040760,2320.0,125780,110.0,570.0
Asthma,2008,M,25 to 29,1046150,2720.0,77460,70.0,560.0
Asthma,2008,M,30 to 34,1014970,3030.0,62760,70.0,670.0
Asthma,2008,M,35 to 39,1088610,3130.0,63290,90.0,900.0
Asthma,2008,M,40 to 44,1194980,3430.0,69910,140.0,1490.0
Asthma,2008,M,45 to 49,1315720,3630.0,75870,260.0,2600.0
Asthma,2008,M,50 to 54,1202060,3300.0,66990,400.0,4030.0
Asthma,2008,M,55 to 59,1025030,3000.0,57090,500.0,5500.0
Asthma,2008,M,60 to 64,871520,2780.0,51500,720.0,7270.0
Asthma,2008,M,65 to 69,637620,2290.0,42210,970.0,8360.0
Asthma,2008,M,70 to 74,486770,1830.0,36150,1230.0,10160.0
Asthma,2008,M,75 to 79,394620,1610.0,33550,1870.0,13530.0
Asthma,2008,M,80 to 84,269130,1100.0,24340,2160.0,15640.0
Asthma,2008,M,85+,209240,820.0,18640,3050.0,23760.0
Asthma,2009,F,<1,157610,1140.0,1140,0.0,570.0
Asthma,2009,F,1 to 4,654010,12400.0,38860,10.0,140.0
Asthma,2009,F,5 to 9,801440,7660.0,107240,20.0,40.0
Asthma,2009,F,10 to 14,880590,4450.0,152530,20.0,60.0
Asthma,2009,F,15 to 19,1002140,4160.0,158470,40.0,150.0
Asthma,2009,F,20 to 24,1019010,3960.0,127150,60.0,190.0
Asthma,2009,F,25 to 29,1052940,4270.0,108390,60.0,270.0
Asthma,2009,F,30 to 34,1057330,4330.0,102550,70.0,340.0
Asthma,2009,F,35 to 39,1091710,4740.0,102260,110.0,510.0
Asthma,2009,F,40 to 44,1165060,5020.0,110170,190.0,840.0
Asthma,2009,F,45 to 49,1317080,5500.0,128840,360.0,1630.0
Asthma,2009,F,50 to 54,1233150,5010.0,119200,480.0,2430.0
Asthma,2009,F,55 to 59,1074990,4390.0,106350,580.0,3250.0
Asthma,2009,F,60 to 64,934960,4180.0,96930,900.0,4460.0
Asthma,2009,F,65 to 69,697960,3200.0,75300,1170.0,5050.0
Asthma,2009,F,70 to 74,552310,2470.0,60040,1350.0,6650.0
Asthma,2009,F,75 to 79,479190,2110.0,52820,1820.0,9860.0
Asthma,2009,F,80 to 84,392060,1580.0,42150,2420.0,14460.0
Asthma,2009,F,85+,453620,1660.0,43940,5340.0,41160.0
Asthma,2009,M,<1,166590,2210.0,2210,0.0,740.0
Asthma,2009,M,1 to 4,686740,20010.0,65730,20.0,170.0
Asthma,2009,M,5 to 9,840670,10100.0,164530,20.0,60.0
Asthma,2009,M,10 to 14,922950,4970.0,223160,40.0,50.0
Asthma,2009,M,15 to 19,1054940,2580.0,209110,90.0,350.0
Asthma,2009,M,20 to 24,1055080,2280.0,140060,120.0,580.0
Asthma,2009,M,25 to 29,1063580,2680.0,86920,100.0,580.0
Asthma,2009,M,30 to 34,1027840,3060.0,66260,70.0,710.0
Asthma,2009,M,35 to 39,1079880,3180.0,65580,100.0,870.0
Asthma,2009,M,40 to 44,1166080,3300.0,70690,160.0,1440.0
Asthma,2009,M,45 to 49,1325670,3710.0,79860,240.0,2590.0
Asthma,2009,M,50 to 54,1229690,3360.0,71680,400.0,4060.0
Asthma,2009,M,55 to 59,1056830,2970.0,61060,560.0,5480.0
Asthma,2009,M,60 to 64,913020,2760.0,55400,760.0,7160.0
Asthma,2009,M,65 to 69,667320,2230.0,44940,990.0,8580.0
Asthma,2009,M,70 to 74,499440,1850.0,37600,1310.0,9810.0
Asthma,2009,M,75 to 79,400500,1500.0,34150,1800.0,13260.0
Asthma,2009,M,80 to 84,276910,1110.0,25300,2130.0,15510.0
Asthma,2009,M,85+,222040,770.0,19950,2960.0,24290.0
Asthma,2010,F,<1,159940,950.0,950,0.0,620.0
Asthma,2010,F,1 to 4,664100,12970.0,38790,10.0,130.0
Asthma,2010,F,5 to 9,809830,7410.0,103760,10.0,50.0
Asthma,2010,F,10 to 14,861960,4150.0,147240,20.0,40.0
Asthma,2010,F,15 to 19,994600,3690.0,165990,40.0,180.0
Asthma,2010,F,20 to 24,1037500,3530.0,137150,60.0,210.0
Asthma,2010,F,25 to 29,1067090,3780.0,113310,60.0,250.0
Asthma,2010,F,30 to 34,1075900,4040.0,107150,80.0,340.0
Asthma,2010,F,35 to 39,1089080,4460.0,105240,100.0,460.0
Asthma,2010,F,40 to 44,1157120,4570.0,112030,170.0,810.0
Asthma,2010,F,45 to 49,1307730,5070.0,131830,340.0,1500.0
Asthma,2010,F,50 to 54,1261160,4680.0,126080,490.0,2490.0
Asthma,2010,F,55 to 59,1110180,4240.0,112770,710.0,3250.0
Asthma,2010,F,60 to 64,976360,4080.0,103390,970.0,4420.0
Asthma,2010,F,65 to 69,726280,3250.0,80240,1190.0,5370.0
Asthma,2010,F,70 to 74,568070,2360.0,63310,1430.0,6710.0
Asthma,2010,F,75 to 79,480780,1960.0,54150,1990.0,9780.0
Asthma,2010,F,80 to 84,397460,1580.0,44010,2540.0,14460.0
Asthma,2010,F,85+,474360,1640.0,47190,5870.0,43790.0
Asthma,2010,M,<1,167730,2080.0,2080,0.0,860.0
Asthma,2010,M,1 to 4,698080,19870.0,65020,20.0,180.0
Asthma,2010,M,5 to 9,848970,9860.0,158670,20.0,50.0
Asthma,2010,M,10 to 14,904530,4600.0,216760,20.0,60.0
Asthma,2010,M,15 to 19,1045930,2220.0,222410,90.0,340.0
Asthma,2010,M,20 to 24,1076210,1940.0,155970,130.0,560.0
Asthma,2010,M,25 to 29,1080650,2450.0,97310,90.0,560.0
Asthma,2010,M,30 to 34,1046170,2790.0,70110,90.0,660.0
Asthma,2010,M,35 to 39,1073810,2860.0,67520,110.0,850.0
Asthma,2010,M,40 to 44,1155720,3020.0,71740,160.0,1340.0
Asthma,2010,M,45 to 49,1318780,3330.0,82580,270.0,2530.0
Asthma,2010,M,50 to 54,1259690,3130.0,76380,380.0,3950.0
Asthma,2010,M,55 to 59,1091540,2860.0,65270,590.0,5530.0
Asthma,2010,M,60 to 64,952240,2650.0,59220,790.0,7570.0
Asthma,2010,M,65 to 69,696420,2170.0,47590,970.0,8690.0
Asthma,2010,M,70 to 74,515340,1770.0,38950,1260.0,10050.0
Asthma,2010,M,75 to 79,405090,1480.0,34710,1690.0,13010.0
Asthma,2010,M,80 to 84,287820,1050.0,26490,2230.0,15610.0
Asthma,2010,M,85+,236260,790.0,21540,3250.0,25720.0
COPD,1999,F,35 to 39,1250620,4920.0,14910,60.0,840.0
COPD,1999,F,40 to 44,1202800,5540.0,26620,130.0,1210.0
COPD,1999,F,45 to 49,1068500,6380.0,30600,230.0,1570.0
COPD,1999,F,50 to 54,940540,7580.0,36850,440.0,2120.0
COPD,1999,F,55 to 59,719670,7810.0,39590,660.0,2530.0
COPD,1999,F,60 to 64,594440,8340.0,43960,1070.0,3070.0
COPD,1999,F,65 to 69,556600,9330.0,52520,1950.0,4320.0
COPD,1999,F,70 to 74,514330,10280.0,59220,3090.0,6370.0
COPD,1999,F,75 to 79,448370,9950.0,59490,4370.0,9300.0
COPD,1999,F,80 to 84,298460,7450.0,43790,4460.0,11260.0
COPD,1999,F,85+,294630,7860.0,43690,7680.0,27830.0
COPD,1999,M,35 to 39,1254310,4430.0,12870,70.0,1460.0
COPD,1999,M,40 to 44,1197910,5310.0,24270,160.0,1950.0
COPD,1999,M,45 to 49,1060470,6160.0,29140,320.0,2520.0
COPD,1999,M,50 to 54,941360,7830.0,36520,560.0,3310.0
COPD,1999,M,55 to 59,716210,8730.0,42320,1110.0,3970.0
COPD,1999,M,60 to 64,572650,9650.0,49920,1920.0,4890.0
COPD,1999,M,65 to 69,517380,11630.0,64800,3510.0,6690.0
COPD,1999,M,70 to 74,431760,12130.0,73130,5470.0,8410.0
COPD,1999,M,75 to 79,321030,10630.0,67950,6990.0,9720.0
COPD,1999,M,80 to 84,180630,6860.0,44420,6380.0,8580.0
COPD,1999,M,85+,131070,5460.0,34190,7670.0,12120.0
COPD,2000,F,35 to 39,1237520,4750.0,14680,60.0,750.0
COPD,2000,F,40 to 44,1226940,5360.0,30880,120.0,1070.0
COPD,2000,F,45 to 49,1101330,6000.0,35640,240.0,1570.0
COPD,2000,F,50 to 54,981570,6980.0,42380,450.0,2250.0
COPD,2000,F,55 to 59,746570,7330.0,45390,700.0,2480.0
COPD,2000,F,60 to 64,608870,7470.0,48980,1160.0,2930.0
COPD,2000,F,65 to 69,555160,8300.0,57020,1910.0,4140.0
COPD,2000,F,70 to 74,517570,9110.0,64410,3180.0,5890.0
COPD,2000,F,75 to 79,453750,9010.0,65210,4490.0,8840.0
COPD,2000,F,80 to 84,313300,6840.0,49550,4840.0,11050.0
COPD,2000,F,85+,306740,7280.0,50030,8730.0,28310.0
COPD,2000,M,35 to 39,1245060,4260.0,12850,60.0,1380.0
COPD,2000,M,40 to 44,1225920,4950.0,27880,170.0,1780.0
COPD,2000,M,45 to 49,1092550,5870.0,33730,320.0,2450.0
COPD,2000,M,50 to 54,980440,7460.0,42060,650.0,3370.0
COPD,2000,M,55 to 59,744660,7880.0,47500,1130.0,3970.0
COPD,2000,M,60 to 64,586890,8730.0,54830,1880.0,4820.0
COPD,2000,M,65 to 69,516890,10230.0,68110,3280.0,6400.0
COPD,2000,M,70 to 74,441420,10700.0,78200,5490.0,8090.0
COPD,2000,M,75 to 79,328060,9370.0,72790,6970.0,9360.0
COPD,2000,M,80 to 84,191190,6220.0,49080,6720.0,8690.0
COPD,2000,M,85+,136970,4890.0,37410,7930.0,12590.0
COPD,2001,F,35 to 39,1213210,4300.0,13970,50.0,780.0
COPD,2001,F,40 to 44,1248310,5020.0,33990,140.0,1130.0
COPD,2001,F,45 to 49,1132250,5980.0,40500,250.0,1610.0
COPD,2001,F,50 to 54,996060,6670.0,46440,480.0,2130.0
COPD,2001,F,55 to 59,801060,7100.0,51670,800.0,2560.0
COPD,2001,F,60 to 64,628860,7020.0,53970,1200.0,2890.0
COPD,2001,F,65 to 69,555160,7630.0,60620,2000.0,3970.0
COPD,2001,F,70 to 74,521500,8450.0,69180,3390.0,5890.0
COPD,2001,F,75 to 79,456590,8360.0,69810,4620.0,8640.0
COPD,2001,F,80 to 84,329770,6670.0,55340,5180.0,11360.0
COPD,2001,F,85+,317960,7160.0,55730,9580.0,28270.0
COPD,2001,M,35 to 39,1221470,3870.0,12350,60.0,1340.0
COPD,2001,M,40 to 44,1249680,4780.0,30660,190.0,1810.0
COPD,2001,M,45 to 49,1124820,5710.0,37660,340.0,2540.0
COPD,2001,M,50 to 54,993100,6890.0,45970,640.0,3340.0
COPD,2001,M,55 to 59,799020,7760.0,53510,1180.0,4210.0
COPD,2001,M,60 to 64,607710,8130.0,59540,1930.0,4910.0
COPD,2001,M,65 to 69,517600,9050.0,70830,3330.0,6090.0
COPD,2001,M,70 to 74,450190,9880.0,82150,5580.0,7850.0
COPD,2001,M,75 to 79,334760,8650.0,76570,7070.0,9130.0
COPD,2001,M,80 to 84,203070,5860.0,53680,7010.0,8830.0
COPD,2001,M,85+,142450,4790.0,40740,8660.0,12470.0
COPD,2002,F,35 to 39,1178670,3850.0,13010,40.0,720.0
COPD,2002,F,40 to 44,1264440,4690.0,35570,150.0,1100.0
COPD,2002,F,45 to 49,1165940,5390.0,44790,260.0,1670.0
COPD,2002,F,50 to 54,1012920,6040.0,49840,500.0,2120.0
COPD,2002,F,55 to 59,853070,6610.0,57350,840.0,2670.0
COPD,2002,F,60 to 64,655120,6690.0,58980,1340.0,3090.0
COPD,2002,F,65 to 69,558330,6670.0,63500,2050.0,3930.0
COPD,2002,F,70 to 74,523650,7440.0,72090,3320.0,5590.0
COPD,2002,F,75 to 79,459730,7470.0,73260,4800.0,8490.0
COPD,2002,F,80 to 84,346550,6310.0,60760,5660.0,11520.0
COPD,2002,F,85+,328010,6730.0,60810,10330.0,28680.0
COPD,2002,M,35 to 39,1184720,3390.0,11290,50.0,1200.0
COPD,2002,M,40 to 44,1267820,4300.0,32050,180.0,1880.0
COPD,2002,M,45 to 49,1160310,5240.0,41340,410.0,2490.0
COPD,2002,M,50 to 54,1007530,6510.0,49430,690.0,3480.0
COPD,2002,M,55 to 59,848830,7450.0,58690,1240.0,4310.0
COPD,2002,M,60 to 64,635790,7660.0,64290,2110.0,4850.0
COPD,2002,M,65 to 69,521150,7990.0,72480,3410.0,5910.0
COPD,2002,M,70 to 74,456990,8870.0,84810,5530.0,7680.0
COPD,2002,M,75 to 79,343280,7980.0,80070,7330.0,8900.0
COPD,2002,M,80 to 84,215230,5660.0,57900,7220.0,9010.0
COPD,2002,M,85+,147320,4250.0,43030,9070.0,12370.0
COPD,2003,F,35 to 39,1143400,3540.0,11750,30.0,690.0
COPD,2003,F,40 to 44,1280230,4790.0,36820,130.0,1130.0
COPD,2003,F,45 to 49,1193800,5500.0,48500,300.0,1640.0
COPD,2003,F,50 to 54,1039240,6020.0,53950,540.0,2240.0
COPD,2003,F,55 to 59,895400,6920.0,62370,870.0,2760.0
COPD,2003,F,60 to 64,684330,6980.0,64100,1410.0,3220.0
COPD,2003,F,65 to 69,568300,6880.0,67380,2100.0,3900.0
COPD,2003,F,70 to 74,524480,7510.0,74940,3420.0,5640.0
COPD,2003,F,75 to 79,461210,7670.0,76500,5030.0,8280.0
COPD,2003,F,80 to 84,361340,6530.0,65970,5990.0,11810.0
COPD,2003,F,85+,339020,6980.0,65970,11560.0,29270.0
COPD,2003,M,35 to 39,1147680,3150.0,10300,50.0,1230.0
COPD,2003,M,40 to 44,1286730,4270.0,32790,190.0,1800.0
COPD,2003,M,45 to 49,1191400,5330.0,44790,380.0,2640.0
COPD,2003,M,50 to 54,1030210,6230.0,52580,760.0,3410.0
COPD,2003,M,55 to 59,889080,7510.0,63600,1240.0,4450.0
COPD,2003,M,60 to 64,666390,7960.0,69100,2190.0,4990.0
COPD,2003,M,65 to 69,530480,8150.0,75050,3220.0,5920.0
COPD,2003,M,70 to 74,461730,8880.0,87220,5550.0,7820.0
COPD,2003,M,75 to 79,351760,7940.0,83020,7500.0,9010.0
COPD,2003,M,80 to 84,226530,5780.0,61970,7740.0,9540.0
COPD,2003,M,85+,153240,4310.0,45500,9420.0,12900.0
COPD,2004,F,35 to 39,1115510,3370.0,10690,50.0,610.0
COPD,2004,F,40 to 44,1285410,4790.0,37130,150.0,1000.0
COPD,2004,F,45 to 49,1219050,5550.0,51920,280.0,1610.0
COPD,2004,F,50 to 54,1071350,6410.0,58590,500.0,2280.0
COPD,2004,F,55 to 59,938530,7230.0,67820,900.0,2820.0
COPD,2004,F,60 to 64,712650,7100.0,69340,1330.0,3190.0
COPD,2004,F,65 to 69,579360,6930.0,70930,2100.0,3750.0
COPD,2004,F,70 to 74,525040,7420.0,77770,3340.0,5360.0
COPD,2004,F,75 to 79,462730,7340.0,79360,4990.0,7820.0
COPD,2004,F,80 to 84,372220,6580.0,70480,6230.0,11670.0
COPD,2004,F,85+,352630,6960.0,70970,11880.0,29380.0
COPD,2004,M,35 to 39,1118660,3110.0,9540,60.0,1170.0
COPD,2004,M,40 to 44,1295550,4400.0,32750,170.0,1920.0
COPD,2004,M,45 to 49,1218090,5300.0,47770,390.0,2600.0
COPD,2004,M,50 to 54,1061250,6440.0,56610,730.0,3450.0
COPD,2004,M,55 to 59,930400,7700.0,68640,1430.0,4480.0
COPD,2004,M,60 to 64,696200,7820.0,73520,2200.0,5090.0
COPD,2004,M,65 to 69,542310,7990.0,78030,3230.0,5750.0
COPD,2004,M,70 to 74,465260,8280.0,88630,5430.0,7240.0
COPD,2004,M,75 to 79,359170,7870.0,85590,7240.0,8750.0
COPD,2004,M,80 to 84,235870,5860.0,65650,7970.0,9400.0
COPD,2004,M,85+,161060,4420.0,48550,9810.0,13020.0
COPD,2005,F,35 to 39,1106540,3260.0,10070,40.0,620.0
COPD,2005,F,40 to 44,1275700,4570.0,35830,130.0,1150.0
COPD,2005,F,45 to 49,1246330,5670.0,55740,350.0,1640.0
COPD,2005,F,50 to 54,1106190,6170.0,63180,560.0,2240.0
COPD,2005,F,55 to 59,980080,7130.0,72850,970.0,2820.0
COPD,2005,F,60 to 64,739400,7160.0,74660,1430.0,3180.0
COPD,2005,F,65 to 69,593950,6660.0,74760,2080.0,3740.0
COPD,2005,F,70 to 74,524470,6850.0,79830,3270.0,5160.0
COPD,2005,F,75 to 79,466390,6850.0,82080,4840.0,7790.0
COPD,2005,F,80 to 84,377790,6250.0,73430,6120.0,11220.0
COPD,2005,F,85+,371420,6900.0,77170,12110.0,28890.0
COPD,2005,M,35 to 39,1106330,2900.0,8930,30.0,1060.0
COPD,2005,M,40 to 44,1287420,4170.0,31800,160.0,1880.0
COPD,2005,M,45 to 49,1247520,5520.0,51010,380.0,2570.0
COPD,2005,M,50 to 54,1095530,6460.0,60630,750.0,3500.0
COPD,2005,M,55 to 59,969580,7910.0,73640,1390.0,4470.0
COPD,2005,M,60 to 64,724550,7810.0,77610,2160.0,5050.0
COPD,2005,M,65 to 69,556960,7670.0,81210,3190.0,5610.0
COPD,2005,M,70 to 74,467120,7890.0,89260,4970.0,7010.0
COPD,2005,M,75 to 79,369420,7420.0,88410,6920.0,8600.0
COPD,2005,M,80 to 84,243130,5470.0,68300,7810.0,8940.0
COPD,2005,M,85+,171930,4320.0,52170,9900.0,13050.0
COPD,2006,F,35 to 39,1102600,3150.0,9590,40.0,600.0
COPD,2006,F,40 to 44,1252980,4460.0,34180,130.0,1020.0
COPD,2006,F,45 to 49,1269230,5780.0,58780,310.0,1680.0
COPD,2006,F,50 to 54,1139080,6320.0,67710,550.0,2330.0
COPD,2006,F,55 to 59,995380,7060.0,75880,970.0,2810.0
COPD,2006,F,60 to 64,794010,7140.0,81310,1540.0,3380.0
COPD,2006,F,65 to 69,613920,6630.0,79130,2230.0,3770.0
COPD,2006,F,70 to 74,525630,6610.0,81730,3300.0,5040.0
COPD,2006,F,75 to 79,471000,6580.0,84740,4980.0,7560.0
COPD,2006,F,80 to 84,381640,5880.0,76030,6460.0,11330.0
COPD,2006,F,85+,392690,6800.0,83690,13520.0,30190.0
COPD,2006,M,35 to 39,1099220,2900.0,8640,30.0,1090.0
COPD,2006,M,40 to 44,1262550,4070.0,30380,150.0,1750.0
COPD,2006,M,45 to 49,1270960,5410.0,53230,440.0,2550.0
COPD,2006,M,50 to 54,1129270,6490.0,64360,780.0,3590.0
COPD,2006,M,55 to 59,982860,7540.0,76460,1410.0,4530.0
COPD,2006,M,60 to 64,778460,8060.0,83920,2310.0,5350.0
COPD,2006,M,65 to 69,578010,7720.0,85130,3370.0,5700.0
COPD,2006,M,70 to 74,470350,7510.0,90060,4990.0,6890.0
